bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,"Stanisława Lema 7, Kraków",50.0676678,19.9929083,1,stop_1556_381029,885-02,Ogród Doświadczeń,50.065502,19.996324,343,,
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,"Stanisława Lema 7, Kraków",50.0676678,19.9929083,2,stop_1556_381019,885-01,Ogród Doświadczeń,50.065658,19.997488,396,,
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,"Stanisława Lema 7, Kraków",50.0676678,19.9929083,3,stop_1105_347329,112-02,TAURON Arena Kraków al. Pokoju,50.064416,19.990077,414,,
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,"Stanisława Lema 7, Kraków",50.0676678,19.9929083,4,stop_1105_347319,112-01,TAURON Arena Kraków al. Pokoju,50.064188,19.988978,478,,
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,"Stanisława Lema 7, Kraków",50.0676678,19.9929083,5,stop_1495_373519,798-02,Muzeum Lotnictwa Polskiego,50.07352,19.990472,674,,
ChIJqX-wtXhbFkcRIttl1p-Y5VE,Art Inn Space,"Miodowa 28, Kraków",50.05313659999999,19.9455218,1,stop_227_36219,815-01,Miodowa,50.053886,19.948108,203,,
ChIJqX-wtXhbFkcRIttl1p-Y5VE,Art Inn Space,"Miodowa 28, Kraków",50.05313659999999,19.9455218,2,stop_227_36229,815-02,Miodowa,50.05321,19.9489,241,,
ChIJqX-wtXhbFkcRIttl1p-Y5VE,Art Inn Space,"Miodowa 28, Kraków",50.05313659999999,19.9455218,3,stop_224_35939,819-03,Stradom,50.052258,19.942061,266,,
ChIJqX-wtXhbFkcRIttl1p-Y5VE,Art Inn Space,"Miodowa 28, Kraków",50.05313659999999,19.9455218,4,stop_224_35929,819-02,Stradom,50.052086,19.941166,332,,
ChIJqX-wtXhbFkcRIttl1p-Y5VE,Art Inn Space,"Miodowa 28, Kraków",50.05313659999999,19.9455218,5,stop_224_35949,819-04,Stradom,50.050842,19.942415,338,,
ChIJJynjsgZbFkcR7seC39HjNjE,Art Kitchen Resto Bar Krakow,"Mikołajska 26, Kraków",50.0615818,19.9425578,1,stop_222_35719,806-01,Poczta Główna,50.059797,19.942404,199,,
ChIJJynjsgZbFkcR7seC39HjNjE,Art Kitchen Resto Bar Krakow,"Mikołajska 26, Kraków",50.0615818,19.9425578,2,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,255,,
ChIJJynjsgZbFkcR7seC39HjNjE,Art Kitchen Resto Bar Krakow,"Mikołajska 26, Kraków",50.0615818,19.9425578,3,stop_222_35729,806-02,Poczta Główna,50.059205,19.942571,264,,
ChIJJynjsgZbFkcR7seC39HjNjE,Art Kitchen Resto Bar Krakow,"Mikołajska 26, Kraków",50.0615818,19.9425578,4,stop_852_324239,801-03,Teatr Słowackiego,50.064192,19.94499,338,,
ChIJJynjsgZbFkcR7seC39HjNjE,Art Kitchen Resto Bar Krakow,"Mikołajska 26, Kraków",50.0615818,19.9425578,5,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,347,,
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,"Bulwar Kurlandzki, Kraków",50.0473228,19.9484197,1,stop_225_36019,820-01,Plac Wolnica,50.048028,19.943426,365,,
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,"Bulwar Kurlandzki, Kraków",50.0473228,19.9484197,2,stop_225_36029,820-02,Plac Wolnica,50.048114,19.943448,366,,
