place_id,name,lat,lon,vicinity
ChIJ4UsfQQ5bFkcRh8q0C40JDBU,Free Pub,50.0632659,19.9371185,"Sławkowska 4, Kraków"
ChIJl5pp4WhbFkcRCVipGIrBiSY,Galileo Shisha Lounge Bar,50.05121200000001,19.9421035,"Pod Arkadami, Krakowska 5/3U, Kraków"
ChIJhSeJSGpbFkcRyE5vnSyZ81c,Rzeźnia – Ribs on Fire,50.0514821,19.9436888,"Bożego Ciała 14, Kraków"
ChIJJQ-a4clbFkcRD1LYzEHRqPA,BoatBar,50.0486441,19.9342166,"Bulwar Wołyński, Kraków"
ChIJJWx2u_VbFkcRY4a-oGzOQ3o,Fabryczna 13,50.0625657,19.9735542,"Fabryczna 13, Kraków"
ChIJPbq8eW5bFkcRwpzOqIB1OEE,Miro Winiarnia i Sklep,50.0450122,19.9492383,"Rynek Podgórski 13, Kraków"
ChIJh6KksxFbFkcRV8C-XoTPWBU,The Artist Cocktail Bar,50.0643489,19.937752,"Świętego Marka 11A, Kraków"
ChIJoZt0-vVbFkcRMzjFkNuPfRY,PonchoCafé | Latino Bar,50.07063669999999,19.9368437,"Długa 47, Kraków"
ChIJqT7T6dNbFkcRUyp4HJfIqQQ,Layla Restaurant & Lounge Bar,50.0563756,19.9459509,"Józefa Dietla 91, Kraków"
ChIJb-LaAgBdFkcR6y0j4bMt7VA,Butelkomat,50.01908220000001,19.9444279,"Tadeusza Połomskiego 14, Kraków"
ChIJc82_WBdbFkcRcrWwh-0ZG2s,Browar Lubicz,50.0646965,19.9498977,"Lubicz 17J, Kraków"
ChIJpZxB7HNbFkcRiI_NeAhjEb4,Smil'y Tavern,50.054145,19.9260003,"Tadeusza Kościuszki 14, Kraków"
ChIJB99IaABbFkcRHGpE1GNFdm8,Lesu Wine & Dine,50.05308609999999,19.9464111,"Miodowa 33, Kraków"
ChIJ_7y28ypbFkcRPFnehKZNPSI,Moo Moo Steak & Wine Kazimierz,50.0531971,19.9479371,"Szeroka 3, Kraków"
ChIJO0XPfABbFkcRSktfIdsasB8,Resto Bar u Iryny,50.0958,19.9570851,"Bociana 8D, Kraków"
ChIJV_LEVCdbFkcRpYUSSqfASt0,"Bifor House, simracing, konsole, dart, planszówki, transmisje meczów, BYOB",50.0714242,19.9332705,"Krowoderska 58/4, Kraków"
ChIJd0c0R-xbFkcRdK1Am-2rXJE,Kebab YEAH,50.0443776,19.958936,"Jana Henryka Dąbrowskiego 5, Kraków"
ChIJ-XaIevVbFkcRtogieeRlELY,BAZA Cyber Club Zablocie,50.0479843,19.9649801,"Tadeusza Romanowicza 4B, Kraków"
ChIJUxK6mBFbFkcRrIErTuk2cJQ,Dog in the Fog,50.0621099,19.9419646,"Świętego Tomasza 31, Kraków"
ChIJ25EKohFbFkcR8o8uEPaVH18,Oldsmobil Pub,50.0621099,19.9419646,"Świętego Tomasza 31, Kraków"
ChIJ--zXXRJbFkcRaNTfe-AEoXE,Albertina Restaurant & Wine,50.0589948,19.9394673,"Dominikańska 3, Kraków"
ChIJ2ezWFWpbFkcRS5qXPBzBoWU,Kawa i Papierosy,50.0507146,19.9444388,"33-332, Józefa 16, Kraków"
ChIJL601569bFkcRxVVbTXOPJ90,Holiday Pub,50.05846219999999,19.9443572,"Wielopole 11/1, Kraków"
ChIJVZ5iLfRbFkcR9iOLwlWGQZM,Cosmic Minigolf Pub,50.06716489999999,19.928389,"Karmelicka 50, Kraków"
ChIJBwntouNbFkcRLBvZmF0xOPc,Anima,50.05570519999999,19.931159,"Powiśle 7, Kraków"
ChIJR6n7hClbFkcR0ldy5BDJvhM,Scarlet Coffee & Drink Bar,50.05320030000001,19.9460448,"Miodowa 28, Kraków"
ChIJfRmg6ihbFkcRuVyoUoqHaM0,Outpost Grill Bar,50.0665795,19.9767674,"Kosynierów 5, Kraków"
ChIJEXR-pVRbFkcRU99V7UxGRmM,Foggy Krakow Shisha Lounge Bar Karaoke & Sushi,50.0646183,19.9395405,"Świętego Jana 30, Kraków"
ChIJx89lXAhFFkcRiHTjAOSylGU,Viale Verde Ristorante,50.0675007,20.0078503,"Aleja Pokoju 81, Kraków"
ChIJ0UtfCDNbFkcRiyhhjH-JCDk,Hot Mamita - pizza by the slice.,50.05777549999999,19.9378225,"Grodzka 43, Kraków"
ChIJmzoTiBFbFkcRvON--cfCMPE,Albo tak cafe,50.0611629,19.94061,"Mały Rynek 4, Kraków"
ChIJLc14YQdbFkcRF6bMe1iytYc,Grill Sauseges near Hala Targowa,50.0582771,19.9491334,"Grzegórzecka, Kraków"
ChIJBYPBnU1bFkcRRKhAtOn_TmU,RETRO | Cocktail Pub Kraków,50.0527662,19.9450359,"Miodowa 23, Kraków"
ChIJH1FI8fVbFkcRuNQZPTvsjyw,Coffee To Go,50.068312,19.947215,"Pawia 5a, Kraków"
ChIJY7cwfqxaFkcRWyUHlfH5DYU,Bar Omega,50.10167269999999,20.0121551,"Osiedle Bohaterów Września 76, Kraków"
ChIJzaA37hFbFkcRxJIWj6Pk0Eg,Bulldog,50.0619878,19.9397256,"plac Mariacki 1/4, Kraków"
ChIJW8p7gxFbFkcR-0hqwQUxiD0,Jadłodajnia U STASI,50.06147379999999,19.9415913,"Mikołajska 16, Kraków"
ChIJBX1glNZbFkcRWp9Sf0NBxI0,ZOO Klub,50.0505368,19.9433701,"Józefa 6/1 P, Kraków"
ChIJHUC8hm9bFkcRyoaWWwMCrL0,Ita,50.0458445,19.9483839,"Józefińska 2, Kraków"
ChIJZSG6WNNbFkcRqvMhcv10D3U,Huma Parilla Concept Bar,50.0577779,19.9383667,"Grodzka 44, Kraków"
ChIJ4Tm53eRbFkcRzLrkVQbFTWM,Tutti Italian Vibe Restaurant,50.0532467,19.9550978,"Podgórska 34, Kraków"
ChIJnz4y_GpbFkcRO50ZS044QoY,La Habana,50.0528621,19.9439988,"Miodowa 22, Kraków"
ChIJLTls8r5EFkcRL5Ptsz9dHZ8,Barbakan,50.041776,19.999919,"Lipska 51, Kraków, Kraków"
ChIJf0UYvUFbFkcR4eJIQrpN7hQ,Duffy's Irish Bar,50.0503738,19.9488813,"Św. Wawrzyńca 18, Kraków"
ChIJAZfj7bdbFkcRhlRqMRPXkBI,Tradycyjna Pijalnia Soków,50.07470960000001,19.9013291,"Młodej Polski 24, Kraków"
ChIJXfBkMABbFkcRIjMn4hP8Mrs,Nu,50.0474678,19.9624975,"Lipowa 6c, Kraków"
ChIJfTP41BpbFkcR-RjsDPebZe0,Kolegaodwina,50.07103719999999,19.9237149,"Józefitów 9, Kraków"
ChIJFfC2vS1bFkcRpnuoYR5Zl74,MyPub Bracka,50.0605571,19.9361165,"Bracka 3/5/7, Kraków"
ChIJz3vbN2pbFkcR8ATOA0llY-I,HEVRE | Bar & Restaurant,50.05118330000001,19.9434319,"Beera Meiselsa 18, Kraków"
ChIJDXVa30FbFkcR01G4eVubqS8,Restauracja Wręga,50.0509928,19.9464525,"Józefa 17, Kraków"
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,50.0612444,19.941935,"Mikołajska 9, Kraków"
ChIJIZeutkhbFkcR94qcL8mSHyQ,Fiu Fiu Bistro,50.067231,19.9409868,"Rynek Kleparski 20/52, Kraków"
ChIJfSPfhg5bFkcR6Odo6nyjEx8,RIN music club,50.062559,19.9345122,"Szewska 14, Kraków"
ChIJY7RLdK1bFkcRFxzbWs8pkQ0,"Budka - lody włoskie, gofry",50.0529773,19.9162666,"Senatorska 39, Kraków"
ChIJbyyoPQBbFkcRm19AXF-tJWA,Club Papuga,50.0546128,19.9435154,"Józefa Dietla 64, Kraków"
ChIJIWP6HwBDFkcRaB3dau-YBXg,Plac Świętego Piotra,50.0123583,19.9719957,"Łużycka 57/61, Kraków"
ChIJfWV4wwlbFkcR3i8Omwc4GA4,Mash Room,50.0487754,19.9448284,"plac Wolnica 10, Kraków"
ChIJffwH4xFbFkcRdb9UjguiRHU,Pijalnia Czekolady E.Wedel,50.062256,19.9388943,"Rynek Główny 46, Kraków"
ChIJw7AOUklbFkcRo2JLBQOOMTc,Mateo,50.04613000000001,19.9661892,"Wałowa 1, Kraków"
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub",50.0533553,19.9458262,"Brzozowa 15, Kraków"
ChIJJ4ngDkBbFkcRaaC0SXi9O2U,Zaraz Wracam Tu,50.0537571,19.94919849999999,"Miodowa 51a, Kraków"
